param Max_num_States := 5;
param Max_num_Actions := 5;
param Time := 4;
set S := 	0 	1 	2 	3 	4 	5 	;
set A := 	0 	1 	2 	3 	4 	5 	;
set T := 	0 	1 	2 	3 	4 	;
param alpha := 0 1.666667e-001
1 1.666667e-001
2 1.666667e-001
3 1.666667e-001
4 1.666667e-001
5 1.666667e-001
;
param Reward :=[*,*,0]: 	 0 1 2 3 4 5   := 
 1 	1.366666666666667 1.800000000000000 1.900000000000000 2.166666666666667 2.600000000000000 0.000000000000000  
 2 	0.900000000000000 1.500000000000000 1.766666666666667 2.200000000000000 0.000000000000000 0.000000000000000  
 3 	0.600000000000000 1.366666666666667 1.800000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 4 	0.466666666666667 1.400000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 5 	0.500000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,4]: 	 0 1 2 3 4 5   := 
 0 	2.000000000000000 2.266666666666667 2.200000000000000 2.300000000000000 2.566666666666667 3.000000000000000  
 1 	1.366666666666667 1.800000000000000 1.900000000000000 2.166666666666667 2.600000000000000 0.000000000000000  
 2 	0.900000000000000 1.500000000000000 1.766666666666667 2.200000000000000 0.000000000000000 0.000000000000000  
 3 	0.600000000000000 1.366666666666667 1.800000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 4 	0.466666666666667 1.400000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 5 	0.500000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
;
param Prob:= 
[*,*,0]: 	 0 1 2 3 4 5   := 
0 	 1.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.833333333333333 0.166666666666667 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.666666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.500000000000000 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000  
4 	 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000  
5 	 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667  
 
[*,*,1]: 	 0 1 2 3 4 5   := 
0 	 0.833333333333333 0.166666666666667 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.666666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.500000000000000 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000  
3 	 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000  
4 	 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667  
5 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3 4 5   := 
0 	 0.666666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.500000000000000 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000  
2 	 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000  
3 	 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667  
4 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
5 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3 4 5   := 
0 	 0.500000000000000 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000 0.000000000000000  
1 	 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000  
2 	 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
4 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
5 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,4]: 	 0 1 2 3 4 5   := 
0 	 0.333333333333333 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.000000000000000  
1 	 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
4 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
5 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,5]: 	 0 1 2 3 4 5   := 
0 	 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.166666666666667  
1 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
4 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
5 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
